4.05	4.38	4.42	4.21	4.12	4.03	5.71	5.45	4	3.49	6.67	6.8	5.04	5.01	4.92	4.86	2.78	3.42	3.01	3.025	3.04
4.3	5.56	4.2	3.87	4.42	4.62	5.91	4.49	4.15	5.56	5.38	5.24	5.98	5.56	5.62	2.98	3.57	3.54	3.95	3.665	5.61
3.86	4.16	4.35	4.17	4.58	4.43	4.42	4.71	4.4	4.06	5.67	5.93	6.05	6.34	3.34	3.89	5.48	5.63	4.47	3.81	4.14
4.33	5.73	4.34	3.72	4.6	4.1	4.41	4.55	4.49	5.13	6.16	6.07	6.18	4.41	5.12	4.5	6.32	6.68	2.46	2.61	3.28
4.42	4.51	4.4	3.9	3.96	4.11	4.44	4.57	5	4.85	6.29	6.31	6.54	8.18	4.9	4.79	7.05	6.12	3.62	2.15	2.77
4.82	6.59	4.64	4.27	3.99	4.54	4.72	2.54	5.05	4.61	6.96	7.32	8.05	5.51	6.33	4.74	6.21	7.49	5.22	2.73	2.72
4.99	5.15	4.18	3.96	4.06	3.97	4.24	5.7	5.73	5.47	7.18	7.43	7.9	9.42	6.44	5.61	6.85	6.03	4.23	2.79	3.18
4.27	4.29	4.01	4.49	4.03	5.06	4.61	2.41	7.11	5.88	7.84	7.28	7.86	5.16	6.9	6.88	8.44	10.16	6.76	4.33	4.33
3.64	3.8	3.96	3.89	3.56	3.59	4.56	4.9	5.96	6.29	8.18	7.84	8.38	9.52	6.75	6.65	7.89	5.55	5.54	5.7	6.22
3.83	6.57	4.37	3.58	6.56	4.73	6.6	3.79	5.85	4.51	9.44	8.98	9.56	7.28	8.01	7	8.23	11.16	7.36	7.84	6.65
4.15	4.62	4.84	4.66	4.87	5.4	6.49	6.95	7.51	7.3	10.52	10.01	10.49	10.9	7.42	6.89	7	6.31	5.91	6.05	4.99
5.19	5.73	4.28	4.19	6.32	5.33	6.14	6.68	7.41	7.71	9.22	13.83	10.96	9.06	8.21	5.99	6.02	10.74	5.74	4.77	4.24
4.63	3.85	1.78	3.89	6.52	6.01	5.88	3.53	5.18	6.95	10.77	10.75	8.64	8.29	3.63	3.15	6.16	5.06	4.54	4.85	4.22
2.56	1.84	1.96	2.03	3.45	0	3.63	4.95	6.3	3.1	9.94	8.33	7.14	5.49	1.45	2.98	5.54	7.9	3.82	4.15	4.31
1.28	1.22	1.78	1.49	2.48	2.58	4.08	4.12	6.98	5.25	7.61	7.44	6.59	6.32	2.4	2.87	4.31	3.51	2.92	3.14	3.36
1.61	2.9	1.74	1.55	3.17	2.09	5.27	1.81	7.25	4.23	8.97	7.89	7.28	5.16	3.09	2.21	3.05	6.23	2.79	3.13	3.25
1.31	1.74	2.61	2.88	4.12	4.7	7.05	7.9	7.73	5.05	9.23	8.06	6.25	7.12	2.74	2.31	3.35	3	3.29	3.58	4.12
1.41	4.49	3.09	3.6	4.46	2.5	7.14	4.82	7.86	8.25	8.71	7.82	7.09	5.22	3.06	2.27	4.04	7.73	3.59	4.42	4
2.03	2.48	3.27	3.69	5.2	5.68	6.35	6.3	7.47	5.34	8.13	8.39	7.07	6.6	3.18	2.66	4.51	4.2	3.49	3.07	3.67
2.22	2.91	3.04	3.59	4.31	2.05	5.54	7.25	5.48	5.92	10.18	8.93	6.82	5.81	3.83	3.25	4.69	5.33	2.53	2.42	3.17
2.36	3.06	2.97	2.78	3.49	4.27	5.39	3.22	4.79	3.44	10.36	9.55	7.32	6.95	3.5	2.03	2.98	3.17	2.76	2.34	3.12
3.41	2.7	2.63	2.34	2.97	1.29	3.24	3.73	5.23	3.26	8.34	8.03	5.61	2.34	2.19	1.75	3.57	7.38	2.6	2.58	3.17
2.66	1.77	2.63	2.13	2.92	3.44	4.36	5.32	5.04	4.58	6.96	6.72	5.31	5.76	1.68	2.13	3.73	3.21	2.48	3.18	4.21
2.21	6.08	3.03	3.37	3.79	2.03	4.26	3.41	4.16	4.7	6.69	6.78	5.64	4.81	2.6	2.38	4.37	5.44	3.33	4.63	4.65
3.08	2.42	3.16	3.37	4.38	3.61	3.25	3.35	4.46	4.2	7.03	7.31	6.14	5.76	2.41	2.35	5.03	6.04	4.6	4.56	4.61
3.43	3.18	3.46	3.18	3.33	2.01	3.18	3.47	4.51	3.35	7.36	7.84	6.34	4.7	2.56	2.68	4.96	5.5	3.45	3.4	4.05
2.23	2.27	3.16	2.53	3.14	3.12	3	2.98	4.46	4.61	7.52	7.87	6.57	6.77	3.71	2.37	4.49	3.63	2.9	3.12	4.09
2.62	4.67	2.98	2.49	3.2	2.5	3.1	3	4.4	3.12	7.85	8.15	8.02	6.01	3.75	2.97	4.27	6.74	3.03	3.59	4.3
2.93	1.93	2.86	2.63	3.2	3.24	3.4	3.67	4.76	4.85	8.27	8.56	8.61	8.42	3.61	2.97	4.43	4.27	3.81	2.97	3.44
3.05	4.1	2.77	2.88	3.4	2.1	3.51	3.13	7.44	4.53	8.87	9.39	9.03	4.44	3.19	2.97	4.49	8.86	3.86	2.96	3.57
2.62	2.16	3.1	3.06	3.62	3.53	3.3	3.8	6.2	6.29	9.24	9.82	9.85	8.12	3.52	3.25	4.22	4.3	4.19	3.1	3.76
1.93	4.18	3.61	3.41	3.97	2.68	4.29	3.86	6.03	3.59	8.68	8.81	7.22	5.89	2.95	1.92	3.75	8	4.2	4.29	3.91
1.74	2.06	3.35	3.33	4.3	5.34	4.42	3.72	5.2	5.15	8.34	8.77	7.24	7.28	1.98	1.66	3.75	4.3	4.14	4.59	4.01
2.1	5.46	3.44	3.98	5.28	1.66	3.73	5.59	4.66	3.6	8.74	8.41	7.23	5.24	1.96	1.81	4.05	7.61	3.15	2.19	4.1
2.36	2.81	4.75	5.19	5.08	3.83	3.32	2.76	4.6	5.32	9.04	8.8	7.92	7.42	2.01	2	4.32	5.13	3.56	2.34	4.14
3.24	6.87	5.53	5.23	3.86	2.8	3.03	3.99	4.61	2.96	8.36	7.41	6.18	4.88	2.85	2.52	4.32	7.56	2.95	1.83	4.08
4.16	4.22	4.51	4.56	4.14	3.71	3.21	3.43	5.05	5.74	8.35	8.2	6.52	6.31	2.54	3.06	4.79	5.05	2.97	1.73	3.96
4.31	3.82	4.21	3.75	3.67	4.41	3.68	3.56	5.11	3.27	8.79	8.28	5.71	6.45	2.37	2.97	5.85	6.74	2.65	2.14	4.06
4.06	3.72	3.78	2.85	3.14	3.43	3.83	3.99	5.45	5.26	8.76	8.75	7.57	7.12	3.18	3.04	5.23	4.77	2.52	2.71	4.38
2.48	4.68	3.69	2.71	3.13	3.75	3.27	3.18	5.83	4.25	8.81	9.94	7.89	5.52	3.15	2.57	4.83	6.69	2.3	2.7	4.61
0.96	1.51	3.62	2.91	3.71	3.6	3.12	2.54	5.3	5.53	9.02	10.52	8.16	7.73	3.22	3.69	4.7	3.87	2.37	2.76	5.1
